File,Time,Latitude,Longitude,Altitude,ENL,terrain_elev_at_first_engine_event (ft),dynamic_AGL_at_first_engine_event (ft),Terrain_EPQS,Terrain_DIFF
17SV6TG2.igc,185252,30.202666666666666,-95.96296666666667,43,0,288.04,-91.19,287.91338422635135,0.12661577364866616
35UV6WG1.igc,182622,32.43131666666667,-111.38623333333334,624,5,2047.71,-108.73,2048.7762465975834,-1.0662465975833584
86GV6O11.igc,163509,41.59616666666667,-74.46128333333333,143,1,544.88,19.42,548.2334402501624,-3.353440250162407
2023-06-05-NAV-160520-01.igc,195120,31.201983333333335,-83.63381666666666,356,3,299.39,839.06,296.09999014777156,3.2900098522284225
56HV77I1.igc,193030,47.31261666666666,-119.51656666666666,389,3,1256.56,-39.37,1260.1756701878248,-3.6156701878248896
43BV0W41.igc,192832,28.4033,-81.83778333333333,48,0,110.43,20.8,111.48685902033527,-1.056859020335267
33BVJBN1.igc,165533,28.43215,-81.82808333333334,470,5,110.8,1601.8,110.65344526335109,0.14655473664890906
38OV7SK1.igc,173618,29.214283333333334,-99.74623333333334,244,2,932.41,-82.68,934.9409788059057,-2.530978805905761
35HV7SY1.igc,190248,40.81765,-76.87108333333333,337,3,450.09,593.22,450.1494103660668,-0.059410366066799725
38KVAQD1.igc,182002,29.216783333333332,-99.74648333333333,249,2,937.06,-84.04,939.6652962930417,-2.6052962930417607
43PVALM1.igc,211137,28.36055,-82.12608333333333,319,3,117.09,968.87,71.56414851708679,45.52585148291321
15VV7VE1.igc,195454,38.99995,-119.75253333333333,1356,14,4703.08,-67.26,4709.148807982783,-6.068807982783255
56QV1IB1.igc,191342,32.67378333333333,-103.13426666666666,2434,25,3592.32,4868.97,3591.303101768808,1.0168982311920445
16KVA9T1.igc,161112,41.6003,-74.4573,189,1,535.0,-105.21,539.4806120894946,-4.480612089494571
35RV6WG1.igc,183006,32.43111666666667,-111.38698333333333,625,5,2049.74,-104.2,2050.9154808359863,-1.175480835986491
18FVAA22.igc,180455,29.18045,-99.73361666666666,486,5,899.67,770.28,897.2113188059056,2.4586811940943107
483VAA21.igc,180823,30.203433333333333,-95.9455,372,3,277.6,998.65,273.0041501140853,4.595849885914731
25kc48c2.igc,210329,36.0021,-120.14093333333334,236,2,772.33,11.79,773.5305192641307,-1.2005192641306621
43JVAP12.igc,182657,28.239916666666666,-81.7641,367,3,143.49,1165.57,136.85149282741034,6.638507172589669
18LV7H21.igc,173555,29.2166,-99.74638333333333,246,2,936.81,-60.83,939.3701328288722,-2.56013282887227
55LV7H21.igc,190401,43.675783333333335,-93.36708333333333,328,3,1256.54,0.02,1258.4651638863695,-1.9251638863695462
38OLNKB1.igc,192227,34.982366666666664,-106.00298333333333,1788,18,6191.39,12.67,6192.993202040605,-1.6032020406046286
13FC4A41.igc,171530,28.41675,-81.85018333333333,1374,14,123.3,4791.4,110.69855080613304,12.601449193866955
57ig8py1.igc,194631,39.32415,-120.13283333333334,1711,17,5889.95,-63.18,5893.053058157744,-3.1030581577442717
462VAUO1.igc,171913,31.986783333333335,-83.79226666666666,1034,11,302.29,3329.6,294.7951333573285,7.494866642671525
165V6PG1.igc,171112,32.00856666666667,-83.76943333333334,373,4,313.6,1064.35,311.5578748615839,2.042125138416111
46PV8KR1.igc,230912,33.065266666666666,-103.4486,1619,16,4053.73,1392.46,4054.602004310908,-0.8720043109078688
