,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
134,2022-03-13-CNI-28W-02.IGC,ASW 27-18 E (ASG-29E),46.7,52.1,47.8,48.1,94.9,62.4,True,,,
135,2019-05-15-CNI-27G-01.IGC,VENTUS 3F,46.2,57.3,52.6,45.1,53.9,50.4,False,,,
136,2018-08-05-CNI-27G-01.IGC,VENTUS 3F,45.2,68.3,55.3,45.1,73.7,55.7,False,,,
137,05GC3KG1.IGC,VENTUS CT,50.2,58.8,54.6,53.2,77.2,63.2,True,,,
138,43TGDEB1.IGC,DUO DISCUS T,"52.9,47.2","58.3,55.9","55.6,51.9","45.4,45.9","56.7,70.7","51.3,55.6",True,,,
139,2019-03-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),62.7,66.6,64.3,50.5,83.6,69.7,True,,,
140,2023-06-17-CNI-295-01.IGC,ASW-24E,78.1,94.3,85.2,71.2,94.9,82.3,True,,,
141,2013-03-09-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"53.7,50.9","67.7,53.4","57.9,52.3","52.4,51.5","75.7,71.4","63.2,64.0",False,,,
142,2018-10-10-CNI-27G-01.IGC,VENTUS 3F,45.4,64.5,52.8,45.2,71.3,61.1,True,,,
143,2022-09-19-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),45.9,56.3,49.6,45.8,67.6,53.8,False,,,
144,2017-07-02-NKL-10R-01.IGC,DISCUS-2CT,"50.5,64.7","69.5,78.6","59.1,68.6","53.7,67.0","78.6,94.4","62.5,81.5",True,,,
145,2016-06-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),68.4,80.7,74.4,74.1,94.9,86.2,True,,,
146,2013-04-26-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),57.7,65.2,62.5,52.1,71.6,64.4,False,,,
147,2015-05-16-NKL-10R-01.IGC,DISCUS-2CT,"46.2,45.2","85.8,94.9","72.6,76.2","45.6,46.5","84.8,94.6","69.3,86.8",True,,,
148,2019-04-22-CNI-22A-01.IGC,VENTUS 3F,45.6,85.6,71.1,45.5,82.9,66.3,True,,,
149,2022-09-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),55.8,60.2,58.0,46.8,51.6,49.5,True,,,
150,2017-08-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),62.0,77.9,68.3,45.9,94.8,65.4,True,,,
151,05LC3KG1.IGC,VENTUS CT,48.3,61.5,55.4,56.7,79.1,63.4,True,,,
152,2015-09-24-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.0,62.4,53.6,50.6,84.4,74.2,True,,,
153,2016-04-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,70.6,54.1,47.1,86.3,69.3,True,,,
154,2017-09-17-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.9,46.9,46.9,48.0,83.7,65.0,True,,,
155,2015-05-20-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),"70.1,49.9,93.3,48.0","91.5,84.0,94.7,60.2","78.7,67.5,94.1,52.8","70.3,48.0","84.0,83.8","77.9,57.6",False,,,
156,2014-05-17-NKL-13E-01.IGC,ASW 27-18 E (ASG-29E),"46.0,46.4","50.2,67.8","47.7,62.8","45.1,45.4,46.5","66.4,94.6,83.6","54.1,79.5,69.3",True,,,
157,2022-09-19-CNI-295-01.IGC,ASW-24E,45.1,55.6,49.7,46.0,70.4,63.1,False,,,
158,2023-06-02-CNI-29F-01.IGC,AS 33ES,46.0,76.6,68.3,45.1,81.0,61.6,True,,,
159,2019-04-24-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),68.3,81.6,72.4,67.7,78.5,71.8,True,,,
160,2018-06-28-CNI-27G-01.IGC,VENTUS 3F,45.5,54.0,49.4,48.9,58.3,54.2,False,,,
161,2016-05-23-NKL-10R-01.IGC,DISCUS-2CT,"53.8,55.6","63.2,66.3","58.6,58.6","55.6,46.9","68.7,88.7","62.9,78.0",True,,,
162,2019-10-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),56.5,70.5,65.3,48.2,76.1,56.1,False,,,
163,2019-04-21-LXV-83L-01.IGC,ASW 27-18 E (ASG-29E),55.2,58.4,56.9,47.8,80.3,64.1,True,66.94,82.79,74.34
164,65BV1WZ1.IGC,ASW 27-18 E (ASG-29E),46.1,64.2,53.7,46.4,80.2,70.3,False,,,
165,2022-10-06-CNI-29F-01.IGC,AS 33ES,45.0,50.5,47.4,48.5,76.7,65.2,True,,,
166,2018-04-19-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.7,81.5,67.0,45.1,76.7,63.3,False,,,
167,2016-05-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),54.3,56.5,55.6,45.2,55.2,49.6,True,,,
168,2017-08-05-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),65.1,73.8,68.2,60.6,94.4,73.5,True,,,
169,2021-06-05-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"55.9,49.9","60.0,59.0","58.0,54.2","46.3,53.0","65.5,93.7","55.9,69.2",True,,,
170,2013-03-15-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),47.2,62.6,51.9,45.8,76.4,68.5,False,,,
171,2015-06-15-CNI-205-01.IGC,ASW 27-18 E (ASG-29E),"47.1,77.4","47.1,78.0","47.1,77.7","60.3,55.1,59.5","80.1,80.1,82.3","69.8,67.3,70.5",True,,,
172,23DVALM1.igc,AS 33ES,49.2,73.7,55.2,55.4,77.3,65.2,True,45.69,89.05,74.29
173,938V1KO1.igc,VENTUS 3F,46.0,78.8,65.5,45.1,92.3,74.9,True,,,
174,33BV83L1.igc,ASW 27-18 E (ASG-29E),,,,45.1,92.8,74.4,True,66.52,86.91,74.06
175,174V7R11.igc,ASW 27-18 E (ASG-29E),45.5,94.9,82.4,45.2,94.5,75.3,True,60.24,85.62,68.46
176,45VV40R1.igc,AS 33ES,49.7,68.4,61.3,46.9,75.2,62.8,True,,,
177,33HVAL81.igc,VENTUS 3F,56.0,69.5,61.5,46.0,84.1,72.2,True,48.15,68.13,57.32
